brand_model,city,model,mileage_in_km,engine_in_cc,Transmission,price_in_lacs,brand_model_age,price_type,mileage_category,engine_mileage_interaction
Hyundai Tucson,Lahore,2021,47000,2000.0,Automatic,74.0,3,Luxury,Low,94000000.0
Toyota Corolla,Quetta,2011,190000,1600.0,Automatic,31.9,13,Mid Range,Medium,304000000.0
Suzuki Wagon,Lahore,2015,118000,660.0,Automatic,21.5,9,Mid Range,Medium,77880000.0
Honda City,Lahore,2019,70000,1300.0,Automatic,37.8,5,Mid Range,Low,91000000.0
Toyota Corolla,Swabi,2010,100000,1300.0,Manual,24.0,14,Mid Range,Low,130000000.0
Daihatsu Mira,Karachi,2021,15,660.0,Automatic,35.4,3,Mid Range,Low,9900.0
Toyota Vitz,Risalpur,2011,130000,1000.0,Automatic,23.5,13,Mid Range,Medium,130000000.0
Toyota Vitz,Faisalabad,2014,86521,1000.0,Automatic,31.8,10,Mid Range,Low,86521000.0
Mitsubishi Mirage,Faisalabad,2014,81500,1000.0,Automatic,21.0,10,Mid Range,Low,81500000.0
Daihatsu Mira,Karachi,2014,103000,660.0,Automatic,25.0,10,Mid Range,Medium,67980000.0
Honda Civic,Lahore,2002,198000,1600.0,Manual,11.6,22,Budget,Medium,316800000.0
Honda Civic,Lahore,2006,168000,1600.0,Manual,24.0,18,Mid Range,Medium,268800000.0
Toyota Prius,Lahore,2010,156000,1497.0,Automatic,34.5,14,Mid Range,Medium,233532000.0
Toyota Aqua,Karachi,2021,34000,1500.0,Automatic,77.0,3,Luxury,Low,51000000.0
Suzuki Mehran,Rawalpindi,2010,50000,800.0,Manual,8.0,14,Budget,Low,40000000.0
Suzuki Mehran,Karachi,2008,125000,800.0,Manual,5.5,16,Budget,Medium,100000000.0
Toyota Corolla,Rawalpindi,2015,125000,1300.0,Manual,29.9,9,Mid Range,Medium,162500000.0
Toyota Corolla,Islamabad,2004,156000,1300.0,Manual,20.4,20,Mid Range,Medium,202800000.0
Honda City,Lahore,2018,29000,1300.0,Manual,37.0,6,Mid Range,Low,37700000.0
Proton Saga,Kot addu,2022,18000,1299.0,Automatic,37.0,2,Mid Range,Low,23382000.0
Toyota Corolla,Karachi,2018,64500,1600.0,Automatic,45.5,6,Premium,Low,103200000.0
Suzuki Cultus,Islamabad,2019,115000,1000.0,Automatic,29.8,5,Mid Range,Medium,115000000.0
Honda City,Rawalpindi,2017,39600,1500.0,Manual,39.0,7,Mid Range,Low,59400000.0
Toyota Corolla,Mansehra,2012,143000,1300.0,Manual,25.0,12,Mid Range,Medium,185900000.0
Honda Civic,Karachi,2010,65000,1800.0,Manual,22.0,14,Mid Range,Low,117000000.0
Suzuki Alto,Islamabad,2023,20000,660.0,Automatic,29.9,1,Mid Range,Low,13200000.0
Suzuki Cultus,Hyderabad,2013,1000,1000.0,Manual,13.2,11,Budget,Low,1000000.0
Honda City,Lahore,2017,68000,1500.0,Automatic,36.9,7,Mid Range,Low,102000000.0
Toyota Passo,Lahore,2021,26000,1000.0,Automatic,42.8,3,Premium,Low,26000000.0
Toyota Passo,Lahore,2022,36000,1000.0,Automatic,43.5,2,Premium,Low,36000000.0
Daihatsu Rocky,Lahore,2020,12981,1000.0,Automatic,59.8,4,Premium,Low,12981000.0
Honda Vezel,Karachi,2015,98000,1500.0,Automatic,41.8,9,Premium,Low,147000000.0
Suzuki Cultus,Hyderabad,2013,1000,1000.0,Manual,13.2,11,Budget,Low,1000000.0
Suzuki Every,Narowal,2013,140000,660.0,Automatic,16.4,11,Budget,Medium,92400000.0
Toyota Passo,Islamabad,2007,104000,1000.0,Automatic,19.3,17,Budget,Medium,104000000.0
Nissan Dayz,Islamabad,2013,45000,660.0,Automatic,22.8,11,Mid Range,Low,29700000.0
Honda City,Lahore,2018,29000,1300.0,Manual,36.2,6,Mid Range,Low,37700000.0
Honda City,Kamoke,2004,147700,1300.0,Manual,23.0,20,Mid Range,Medium,192010000.0
Daihatsu Move,Lahore,2016,78000,660.0,Automatic,27.9,8,Mid Range,Low,51480000.0
Honda City,Multan,2010,160000,1300.0,Manual,23.5,14,Mid Range,Medium,208000000.0
Suzuki APV,Lahore,2008,100000,1600.0,Manual,19.0,16,Budget,Low,160000000.0
Suzuki Cultus,Mardan,2009,12345,1000.0,Manual,11.2,15,Budget,Low,12345000.0
Toyota Corolla,Sialkot,2009,100000,1300.0,Manual,17.5,15,Budget,Low,130000000.0
Honda City,Islamabad,2016,82000,1300.0,Manual,31.4,8,Mid Range,Low,106600000.0
Hyundai Santro,Faisalabad,2008,111111,1000.0,Manual,11.0,16,Budget,Medium,111111000.0
Honda City,Lahore,2005,158000,1300.0,Manual,15.5,19,Budget,Medium,205400000.0
Suzuki Cultus,Rawalpindi,2017,56000,1000.0,Manual,27.5,7,Mid Range,Low,56000000.0
Toyota Corolla,Lahore,2022,36000,1600.0,Automatic,64.5,2,Luxury,Low,57600000.0
Daihatsu Cuore,Zafarwal,2008,90000,800.0,Automatic,10.9,16,Budget,Low,72000000.0
Toyota Corolla,Sahiwal,2018,150000,1300.0,Manual,38.0,6,Mid Range,Medium,195000000.0
Nissan Moco,Islamabad,2007,111111,660.0,Automatic,17.2,17,Budget,Medium,73333260.0
Prince Pearl,Sialkot,2021,12100,800.0,Manual,11.6,3,Budget,Low,9680000.0
Toyota Corolla,Mandra,2017,65000,1300.0,Manual,42.7,7,Premium,Low,84500000.0
Suzuki Alto,Islamabad,2022,40000,660.0,Manual,25.4,2,Mid Range,Low,26400000.0
Suzuki Cultus,Karachi,2007,50000,1000.0,Manual,9.0,17,Budget,Low,50000000.0
Toyota Corolla,Bahawalpur,2015,124000,1800.0,Automatic,50.0,9,Premium,Medium,223200000.0
Honda Vezel,Rawalpindi,2019,32000,1500.0,Automatic,80.5,5,Luxury,Low,48000000.0
Suzuki Wagon,Karachi,2019,62799,1000.0,Manual,23.0,5,Mid Range,Low,62799000.0
Toyota Belta,Karachi,2011,130000,1000.0,Automatic,22.9,13,Mid Range,Medium,130000000.0
Honda Civic,Karachi,2017,48650,1800.0,Automatic,46.0,7,Premium,Low,87570000.0
Suzuki Alto,Islamabad,2022,40000,660.0,Manual,25.4,2,Mid Range,Low,26400000.0
Suzuki Cultus,Karachi,2007,50000,1000.0,Manual,9.0,17,Budget,Low,50000000.0
Daihatsu Cuore,Islamabad,2002,1,800.0,Manual,7.8,22,Budget,Low,800.0
Suzuki Ravi,Rawalpindi,2006,80000,800.0,Manual,7.3,18,Budget,Low,64000000.0
Honda Civic,Karachi,2013,95000,1800.0,Automatic,33.0,11,Mid Range,Low,171000000.0
Honda Civic,Karachi,2013,116000,1800.0,Automatic,31.5,11,Mid Range,Medium,208800000.0
Suzuki Wagon,Abbottabad,2017,150000,1000.0,Manual,21.0,7,Mid Range,Medium,150000000.0
Suzuki Cultus,Lahore,2003,100000,1000.0,Manual,6.8,21,Budget,Low,100000000.0
Toyota Passo,Islamabad,2015,89000,1000.0,Automatic,29.5,9,Mid Range,Low,89000000.0
Suzuki Cultus,Lahore,2019,63000,1000.0,Manual,26.5,5,Mid Range,Low,63000000.0
MG HS,Lahore,2024,7000,1500.0,Automatic,79.9,0,Luxury,Low,10500000.0
Honda Civic,Lahore,2017,82000,1800.0,Automatic,49.7,7,Premium,Low,147600000.0
Suzuki Swift,Sukkur,2022,50000,1200.0,Automatic,43.5,2,Premium,Low,60000000.0
Nissan Juke,Faisalabad,2016,100000,1500.0,Automatic,31.2,8,Mid Range,Low,150000000.0
Honda Vezel,Islamabad,2014,95000,1500.0,Automatic,54.5,10,Premium,Low,142500000.0
Suzuki Mehran,Multan,1995,12000,800.0,Manual,4.4,29,Budget,Low,9600000.0
KIA Sportage,Khanewal,2022,38500,2000.0,Automatic,78.2,2,Luxury,Low,77000000.0
Honda Civic,Islamabad,2005,200000,1600.0,Manual,18.5,19,Budget,Medium,320000000.0
Suzuki Bolan,Islamabad,2015,35000,800.0,Manual,10.5,9,Budget,Low,28000000.0
Honda Civic,Rawalpindi,2005,120000,1500.0,Automatic,22.5,19,Mid Range,Medium,180000000.0
Honda Civic,Karachi,2020,17500,1800.0,Automatic,64.0,4,Luxury,Low,31500000.0
Suzuki Cultus,Lahore,2014,96000,1000.0,Manual,15.0,10,Budget,Low,96000000.0
Toyota Corolla,Karachi,2016,57000,1300.0,Manual,34.5,8,Mid Range,Low,74100000.0
Honda City,Islamabad,2004,108000,1300.0,Automatic,17.8,20,Budget,Medium,140400000.0
Toyota Passo,Lahore,2020,4200,1000.0,Automatic,41.2,4,Premium,Low,4200000.0
Honda Civic,Rawalpindi,2021,30050,1800.0,Automatic,64.8,3,Luxury,Low,54090000.0
DFSK Glory,Islamabad,2021,11200,1500.0,Automatic,51.5,3,Premium,Low,16800000.0
Proton X70,Lahore,2022,23000,1500.0,Automatic,73.5,2,Luxury,Low,34500000.0
Honda City,Lahore,2017,75000,1300.0,Manual,33.4,7,Mid Range,Low,97500000.0
Toyota Belta,Islamabad,2006,103000,1300.0,Automatic,23.8,18,Mid Range,Medium,133900000.0
Suzuki Cultus,Lahore,2014,96000,1000.0,Manual,15.0,10,Budget,Low,96000000.0
Toyota Vitz,Rawalpindi,2006,198,1300.0,Automatic,23.0,18,Mid Range,Low,257400.0
Daihatsu Cuore,Lahore,2009,120000,800.0,Manual,12.0,15,Budget,Medium,96000000.0
Honda Civic,Lahore,2004,208000,1600.0,Manual,14.8,20,Budget,High,332800000.0
Hyundai Tucson,Lahore,2021,47000,2000.0,Automatic,74.0,3,Luxury,Low,94000000.0
Suzuki Alto,Karachi,2015,110000,660.0,Automatic,28.5,9,Mid Range,Medium,72600000.0
Toyota Corolla,Gujrat,2013,125000,1300.0,Manual,28.0,11,Mid Range,Medium,162500000.0
Honda Civic,Multan,2017,96000,1800.0,Automatic,49.5,7,Premium,Low,172800000.0
Suzuki Alto,Lahore,2021,44000,660.0,Automatic,27.9,3,Mid Range,Low,29040000.0
Honda Civic,Islamabad,2004,200000,1600.0,Manual,15.9,20,Budget,Medium,320000000.0
Honda City,Gujranwala,2018,63000,1300.0,Manual,36.2,6,Mid Range,Low,81900000.0
Toyota Corolla,Hafizabad,2012,165000,1300.0,Manual,24.0,12,Mid Range,Medium,214500000.0
Suzuki Alto,Lahore,2009,200000,1000.0,Manual,10.0,15,Budget,Medium,200000000.0
Suzuki Cultus,Lahore,2008,99999,1000.0,Manual,10.8,16,Budget,Low,99999000.0
Toyota Corolla,Faisalabad,2018,57000,1800.0,Automatic,57.5,6,Premium,Low,102600000.0
Suzuki Margalla,Karachi,1996,100000,1300.0,Manual,6.0,28,Budget,Low,130000000.0
Suzuki Mehran,Karachi,2014,72874,796.0,Manual,10.8,10,Budget,Low,58007704.0
Toyota Premio,Islamabad,2007,190000,1800.0,Automatic,36.0,17,Mid Range,Medium,342000000.0
Toyota Corolla,Quetta,2011,190000,1600.0,Automatic,31.9,13,Mid Range,Medium,304000000.0
Suzuki Wagon,Lahore,2015,118000,660.0,Automatic,21.5,9,Mid Range,Medium,77880000.0
Honda City,Lahore,2006,12345,1300.0,Manual,14.4,18,Budget,Low,16048500.0
Changan Karvaan,Lahore,2024,130,1200.0,Manual,31.5,0,Mid Range,Low,156000.0
Toyota Belta,Islamabad,2006,103000,1300.0,Automatic,23.8,18,Mid Range,Medium,133900000.0
Toyota Passo,Islamabad,2010,102000,1000.0,Automatic,24.5,14,Mid Range,Medium,102000000.0
KIA Sportage,Lahore,2021,5800,2000.0,Automatic,71.9,3,Luxury,Low,11600000.0
Nissan Note,Peshawar,2018,90000,1198.0,Automatic,45.0,6,Premium,Low,107820000.0
Nissan Tiida,Peshawar,2007,150,1500.0,Automatic,24.5,17,Mid Range,Low,225000.0
Honda City,Peshawar,2014,92000,1300.0,Manual,30.5,10,Mid Range,Low,119600000.0
Honda Civic,Peshawar,2017,135000,1800.0,Automatic,53.3,7,Premium,Medium,243000000.0
Honda HR-V,Faisalabad,2023,37000,1500.0,Automatic,68.5,1,Luxury,Low,55500000.0
Toyota Corolla,Lahore,2016,79213,1300.0,Manual,34.5,8,Mid Range,Low,102976900.0
Honda City,Lahore,2019,90000,1500.0,Automatic,38.0,5,Mid Range,Low,135000000.0
Honda Civic,Lahore,2018,70000,1800.0,Automatic,52.2,6,Premium,Low,126000000.0
Honda City,Lahore,2006,12345,1300.0,Manual,14.4,18,Budget,Low,16048500.0
Changan Karvaan,Lahore,2024,130,1200.0,Manual,31.5,0,Mid Range,Low,156000.0
Suzuki Alto,Rawalpindi,2012,40000,1000.0,Manual,14.2,12,Budget,Low,40000000.0
Daihatsu Move,Islamabad,2014,128000,660.0,Automatic,25.5,10,Mid Range,Medium,84480000.0
Toyota Corolla,Bahawalpur,2013,156000,1300.0,Manual,30.0,11,Mid Range,Medium,202800000.0
Mitsubishi Minicab,Multan,2014,153000,660.0,Automatic,12.8,10,Budget,Medium,100980000.0
Honda Civic,Islamabad,1996,162000,1500.0,Manual,10.5,28,Budget,Medium,243000000.0
Toyota Corolla,Nawabshah,2008,188000,1300.0,Manual,17.5,16,Budget,Medium,244400000.0
Daihatsu Terios,Haripur,2012,111111,1500.0,Manual,25.0,12,Mid Range,Medium,166666500.0
Toyota Corolla,Lahore,2019,95000,1300.0,Automatic,42.8,5,Premium,Low,123500000.0
Toyota Aqua,Peshawar,2013,168888,1500.0,Automatic,40.0,11,Mid Range,Medium,253332000.0
Honda Civic,Lahore,2010,200000,1800.0,Automatic,25.0,14,Mid Range,Medium,360000000.0
Toyota Corolla,Karachi,2006,12,1800.0,Manual,16.0,18,Budget,Low,21600.0
Honda City,Lahore,2019,70000,1300.0,Automatic,37.8,5,Mid Range,Low,91000000.0
Honda Civic,Lahore,2014,141000,1800.0,Automatic,37.8,10,Mid Range,Medium,253800000.0
Toyota Vitz,Islamabad,2005,170,1300.0,Automatic,18.0,19,Budget,Low,221000.0
Honda City,Lahore,2017,68000,1500.0,Automatic,36.9,7,Mid Range,Low,102000000.0
Toyota Corolla,Swabi,2004,1234,1500.0,Automatic,26.5,20,Mid Range,Low,1851000.0
Honda Civic,Lahore,1995,100000,1500.0,Manual,7.5,29,Budget,Low,150000000.0
Daihatsu Move,Lahore,2024,37000,660.0,Automatic,33.0,0,Mid Range,Low,24420000.0
Toyota Vitz,Rawalpindi,2015,78000,1000.0,Automatic,36.0,9,Mid Range,Low,78000000.0
Toyota Aqua,Lahore,2014,183000,1500.0,Automatic,40.5,10,Premium,Medium,274500000.0
Honda City,Lahore,2021,50000,1300.0,Manual,37.5,3,Mid Range,Low,65000000.0
Daihatsu Mira,Karachi,2015,83000,660.0,Automatic,24.0,9,Mid Range,Low,54780000.0
Toyota Corolla,Islamabad,2017,68237,1800.0,Automatic,53.5,7,Premium,Low,122826600.0
Daihatsu Mira,Multan,2020,37000,660.0,Automatic,35.5,4,Mid Range,Low,24420000.0
Honda Civic,Karachi,2017,65000,1800.0,Automatic,43.0,7,Premium,Low,117000000.0
Suzuki Wagon,Lahore,2022,41000,1000.0,Manual,28.5,2,Mid Range,Low,41000000.0
Mercedes Benz,Islamabad,2007,130000,1800.0,Automatic,54.0,17,Premium,Medium,234000000.0
Toyota Aqua,Lahore,2014,183000,1500.0,Automatic,40.5,10,Premium,Medium,274500000.0
Toyota Aqua,Multan,2018,48423,1500.0,Automatic,54.9,6,Premium,Low,72634500.0
Suzuki Mehran,Rawalpindi,2013,38000,796.0,Manual,9.8,11,Budget,Low,30248000.0
Suzuki Mehran,Rawalpindi,2015,1111,800.0,Manual,12.0,9,Budget,Low,888800.0
Suzuki Cultus,Karachi,2014,70000,1000.0,Manual,13.8,10,Budget,Low,70000000.0
Toyota Passo,Lahore,2021,26000,1000.0,Automatic,42.8,3,Premium,Low,26000000.0
Toyota Passo,Lahore,2022,36000,1000.0,Automatic,43.5,2,Premium,Low,36000000.0
Honda Vezel,Islamabad,2019,48000,1500.0,Automatic,79.9,5,Luxury,Low,72000000.0
Suzuki Alto,Lahore,2024,5000,660.0,Automatic,30.0,0,Mid Range,Low,3300000.0
Daihatsu Rocky,Lahore,2020,12981,1000.0,Automatic,59.8,4,Premium,Low,12981000.0
Suzuki Alto,Lahore,2013,60000,660.0,Automatic,22.0,11,Mid Range,Low,39600000.0
Honda Civic,Lahore,2017,74000,1500.0,Automatic,50.0,7,Premium,Low,111000000.0
Toyota Vitz,Lahore,2004,230000,1000.0,Automatic,19.5,20,Budget,High,230000000.0
Honda Civic,Lahore,2011,120000,1800.0,Automatic,22.2,13,Mid Range,Medium,216000000.0
Changan Alsvin,Charsadda,2024,2000,1500.0,Automatic,44.0,0,Premium,Low,3000000.0
Peugeot Allure,Multan,2022,30000,1200.0,Automatic,65.0,2,Luxury,Low,36000000.0
Toyota Corolla,Lahore,2008,200000,2000.0,Manual,18.8,16,Budget,Medium,400000000.0
Toyota Aqua,Lahore,2021,35000,1500.0,Automatic,72.5,3,Luxury,Low,52500000.0
Toyota Corolla,Karachi,2019,56500,1600.0,Automatic,43.0,5,Premium,Low,90400000.0
Honda City,Lahore,2019,90000,1300.0,Manual,35.2,5,Mid Range,Low,117000000.0
Toyota Passo,Lahore,2012,113000,1000.0,Automatic,24.8,12,Mid Range,Medium,113000000.0
Toyota Aqua,Karachi,2014,168000,1500.0,Automatic,36.0,10,Mid Range,Medium,252000000.0
Suzuki Alto,Rawalpindi,2021,63000,660.0,Automatic,27.0,3,Mid Range,Low,41580000.0
Suzuki Swift,Faisalabad,2022,35000,1200.0,Automatic,44.0,2,Premium,Low,42000000.0
Nissan Dayz,Lahore,2021,15000,660.0,Automatic,37.8,3,Mid Range,Low,9900000.0
Toyota Corolla,Pind Dadan Khan,2017,78450,1300.0,Manual,44.0,7,Premium,Low,101985000.0
Honda City,Karachi,2014,88000,1300.0,Manual,24.8,10,Mid Range,Low,114400000.0
Suzuki Mehran,Lahore,2015,86655,796.0,Manual,10.2,9,Budget,Low,68977380.0
Mitsubishi Ek,Karachi,2013,76000,660.0,Automatic,19.8,11,Budget,Low,50160000.0
Toyota Corolla,Karachi,2016,78000,1300.0,Automatic,36.5,8,Mid Range,Low,101400000.0
Mitsubishi Ek,Islamabad,2023,4000,660.0,Automatic,35.5,1,Mid Range,Low,2640000.0
Suzuki Swift,Gujranwala,2016,80000,1300.0,Manual,21.9,8,Mid Range,Low,104000000.0
Toyota Aqua,Karachi,2014,168000,1500.0,Automatic,36.0,10,Mid Range,Medium,252000000.0
Suzuki Alto,Rawalpindi,2021,63000,660.0,Automatic,27.0,3,Mid Range,Low,41580000.0
Honda Vezel,Karachi,2015,98000,1500.0,Automatic,41.8,9,Premium,Low,147000000.0
Suzuki Mehran,Gujrat,2015,12345,796.0,Manual,11.5,9,Budget,Low,9826620.0
Honda Fit,Lahore,2015,79000,1500.0,Automatic,35.0,9,Mid Range,Low,118500000.0
Honda Civic,Islamabad,2017,130620,1800.0,Automatic,43.5,7,Premium,Medium,235116000.0
Honda City,Lahore,2022,32200,1200.0,Automatic,44.0,2,Premium,Low,38640000.0
Suzuki Mehran,Karachi,2018,20000,800.0,Manual,15.0,6,Budget,Low,16000000.0
Honda Civic,Rawalpindi,2010,140000,1800.0,Automatic,27.0,14,Mid Range,Medium,252000000.0
Honda Vezel,Islamabad,2015,180000,1500.0,Automatic,55.0,9,Premium,Medium,270000000.0
Honda Civic,Rawalpindi,2016,137000,1800.0,Automatic,48.5,8,Premium,Medium,246600000.0
Suzuki Swift,Lahore,2012,105000,1300.0,Manual,18.4,12,Budget,Medium,136500000.0
Toyota Corolla,Bahawalpur,2015,124000,1800.0,Automatic,50.0,9,Premium,Medium,223200000.0
Suzuki Swift,Gujranwala,2016,80000,1300.0,Manual,21.9,8,Mid Range,Low,104000000.0
Toyota Corolla,Okara,2022,13000,1800.0,Manual,70.5,2,Luxury,Low,23400000.0
MG HS,Karachi,2021,43000,1490.0,Automatic,66.0,3,Luxury,Low,64070000.0
MG HS,Lahore,2022,24000,1500.0,Automatic,64.0,2,Luxury,Low,36000000.0
Honda City,Islamabad,2017,165000,1300.0,Automatic,23.0,7,Mid Range,Medium,214500000.0
KIA Sportage,Lahore,2022,33164,2000.0,Automatic,72.0,2,Luxury,Low,66328000.0
Honda Civic,Islamabad,2014,82000,1800.0,Automatic,37.5,10,Mid Range,Low,147600000.0
Honda Civic,Karachi,2018,58000,1800.0,Automatic,43.8,6,Premium,Low,104400000.0
Toyota Vitz,Rawalpindi,2010,86000,1300.0,Automatic,21.0,14,Mid Range,Low,111800000.0
Mercedes Benz,Lahore,2009,60000,1800.0,Automatic,57.5,15,Premium,Low,108000000.0
Honda Civic,Islamabad,2020,73500,1800.0,Automatic,60.0,4,Premium,Low,132300000.0
Toyota Aqua,Lahore,2013,77000,1500.0,Automatic,35.2,11,Mid Range,Low,115500000.0
Honda Vezel,Rawalpindi,2019,32000,1500.0,Automatic,80.5,5,Luxury,Low,48000000.0
Daihatsu Mira,Karachi,2012,98000,660.0,Automatic,22.4,12,Mid Range,Low,64680000.0
Suzuki Wagon,Karachi,2019,62799,1000.0,Manual,23.0,5,Mid Range,Low,62799000.0
Toyota Belta,Karachi,2011,130000,1000.0,Automatic,22.9,13,Mid Range,Medium,130000000.0
Toyota Corolla,Attock,2013,200000,1300.0,Manual,25.2,11,Mid Range,Medium,260000000.0
Honda Fit,Karachi,2015,79000,1500.0,Automatic,32.9,9,Mid Range,Low,118500000.0
Toyota Passo,Rawalpindi,2007,140000,1000.0,Automatic,21.0,17,Mid Range,Medium,140000000.0
Suzuki Wagon,Islamabad,2021,24000,660.0,Automatic,40.6,3,Premium,Low,15840000.0
Honda Civic,Karachi,2017,48650,1800.0,Automatic,46.0,7,Premium,Low,87570000.0
